transaction_id,date,store_id,product_id,quantity_sold,sales_amount
TXN000001,2026-05-08,1,18,1,20.0
TXN000001,2026-05-08,1,30,2,80.0
TXN000001,2026-05-08,1,41,1,90.0
TXN000001,2026-05-08,1,54,2,70.0
TXN000004,2026-05-08,1,15,2,220.0
TXN000004,2026-05-08,1,21,1,310.0
TXN000004,2026-05-08,1,54,1,35.0
TXN000004,2026-05-08,1,50,1,260.0
TXN000005,2026-05-08,1,59,1,35.0
TXN000006,2026-05-08,1,42,2,1240.0
TXN000006,2026-05-08,1,32,1,120.0
TXN000007,2026-05-08,1,48,2,48.0
TXN000007,2026-05-08,1,36,1,105.0
TXN000008,2026-05-08,1,58,1,25.0
TXN000008,2026-05-08,1,24,1,50.0
TXN000009,2026-05-08,1,56,1,120.0
TXN000011,2026-05-08,1,25,1,280.0
TXN000011,2026-05-08,1,30,1,40.0
TXN000013,2026-05-08,1,50,1,260.0
TXN000013,2026-05-08,1,42,2,1240.0
TXN000013,2026-05-08,1,22,2,60.0
TXN000014,2026-05-08,1,1,3,192.0
TXN000014,2026-05-08,1,47,1,165.0
TXN000014,2026-05-08,1,57,1,90.0
TXN000014,2026-05-08,1,17,2,90.0
TXN000015,2026-05-08,1,54,1,35.0
TXN000015,2026-05-08,1,33,1,85.0
TXN000016,2026-05-08,1,1,4,256.0
TXN000016,2026-05-08,1,39,1,140.0
TXN000016,2026-05-08,1,21,2,620.0
TXN000016,2026-05-08,1,32,1,120.0
TXN000017,2026-05-08,1,16,1,120.0
TXN000017,2026-05-08,1,4,1,140.0
TXN000017,2026-05-08,1,57,1,90.0
TXN000018,2026-05-08,1,9,3,120.0
TXN000018,2026-05-08,1,43,2,480.0
TXN000018,2026-05-08,1,36,3,315.0
TXN000019,2026-05-08,1,46,1,48.0
TXN000020,2026-05-08,1,29,1,95.0
TXN000020,2026-05-08,1,58,1,25.0
TXN000020,2026-05-08,1,34,1,190.0
TXN000022,2026-05-08,1,15,1,110.0
TXN000022,2026-05-08,1,1,2,128.0
TXN000022,2026-05-08,1,5,1,95.0
TXN000022,2026-05-08,1,46,2,96.0
TXN000023,2026-05-08,1,14,1,80.0
TXN000023,2026-05-08,1,35,1,145.0
TXN000023,2026-05-08,1,9,2,80.0
TXN000024,2026-05-08,1,13,1,60.0
TXN000024,2026-05-08,1,7,1,130.0
TXN000024,2026-05-08,1,43,2,480.0
TXN000024,2026-05-08,1,28,1,75.0
TXN000025,2026-05-08,1,4,1,140.0
TXN000026,2026-05-08,1,47,1,165.0
TXN000026,2026-05-08,1,22,2,60.0
TXN000026,2026-05-08,1,52,1,50.0
TXN000026,2026-05-08,1,56,1,120.0
TXN000027,2026-05-08,1,18,1,20.0
TXN000027,2026-05-08,1,30,3,120.0
TXN000028,2026-05-08,1,52,2,100.0
TXN000028,2026-05-08,1,56,1,120.0
TXN000028,2026-05-08,1,55,1,30.0
TXN000028,2026-05-08,1,36,2,210.0
TXN000029,2026-05-08,1,60,1,40.0
TXN000030,2026-05-08,1,32,1,120.0
TXN000030,2026-05-08,1,14,1,80.0
TXN000030,2026-05-08,1,56,1,120.0
TXN000031,2026-05-08,1,17,2,90.0
TXN000031,2026-05-08,1,60,2,80.0
TXN000031,2026-05-08,1,51,1,180.0
TXN000032,2026-05-08,1,10,2,90.0
TXN000032,2026-05-08,1,14,1,80.0
TXN000035,2026-05-08,2,55,1,30.0
TXN000036,2026-05-08,2,8,2,168.0
TXN000037,2026-05-08,2,16,2,240.0
TXN000037,2026-05-08,2,39,1,140.0
TXN000037,2026-05-08,2,40,1,65.0
TXN000038,2026-05-08,2,16,2,240.0
TXN000038,2026-05-08,2,17,3,135.0
TXN000040,2026-05-08,2,5,1,95.0
TXN000041,2026-05-08,2,14,1,80.0
TXN000041,2026-05-08,2,33,1,85.0
TXN000041,2026-05-08,2,17,2,90.0
TXN000041,2026-05-08,2,9,2,80.0
TXN000042,2026-05-08,2,40,1,65.0
TXN000042,2026-05-08,2,42,1,620.0
TXN000043,2026-05-08,2,20,1,220.0
TXN000043,2026-05-08,2,60,1,40.0
TXN000043,2026-05-08,2,43,1,240.0
TXN000043,2026-05-08,2,7,1,130.0
TXN000043,2026-05-08,2,57,1,90.0
TXN000044,2026-05-08,2,14,1,80.0
TXN000044,2026-05-08,2,46,1,48.0
TXN000044,2026-05-08,2,22,1,30.0
TXN000044,2026-05-08,2,44,1,580.0
TXN000044,2026-05-08,2,41,2,180.0
TXN000045,2026-05-08,2,54,1,35.0
TXN000045,2026-05-08,2,18,1,20.0
TXN000045,2026-05-08,2,3,1,115.0
TXN000045,2026-05-08,2,1,2,128.0
TXN000046,2026-05-08,2,36,3,315.0
TXN000046,2026-05-08,2,46,2,96.0
TXN000046,2026-05-08,2,1,2,128.0
TXN000047,2026-05-08,2,36,2,210.0
TXN000047,2026-05-08,2,10,2,90.0
TXN000048,2026-05-08,2,58,1,25.0
TXN000049,2026-05-08,2,16,1,120.0
TXN000050,2026-05-08,2,40,2,130.0
TXN000050,2026-05-08,2,48,1,24.0
TXN000050,2026-05-08,2,10,2,90.0
TXN000050,2026-05-08,2,60,1,40.0
TXN000051,2026-05-08,2,12,2,180.0
TXN000051,2026-05-08,2,48,2,48.0
TXN000052,2026-05-08,2,18,1,20.0
TXN000053,2026-05-08,2,55,1,30.0
TXN000054,2026-05-08,2,23,1,25.0
TXN000054,2026-05-08,2,53,1,40.0
TXN000054,2026-05-08,2,51,2,360.0
TXN000055,2026-05-08,2,22,2,60.0
TXN000055,2026-05-08,2,18,1,20.0
TXN000056,2026-05-08,2,22,2,60.0
TXN000056,2026-05-08,2,2,2,70.0
TXN000056,2026-05-08,2,8,1,84.0
TXN000056,2026-05-08,2,57,1,90.0
TXN000056,2026-05-08,2,17,1,45.0
TXN000057,2026-05-08,2,28,1,75.0
TXN000057,2026-05-08,2,39,1,140.0
TXN000057,2026-05-08,2,33,1,85.0
TXN000058,2026-05-08,2,46,1,48.0
TXN000059,2026-05-08,2,1,1,64.0
TXN000059,2026-05-08,2,52,1,50.0
TXN000060,2026-05-08,2,43,1,240.0
TXN000061,2026-05-08,2,40,1,65.0
TXN000061,2026-05-08,2,43,1,240.0
TXN000062,2026-05-08,2,21,1,310.0
TXN000062,2026-05-08,2,45,2,270.0
TXN000062,2026-05-08,2,19,1,110.0
TXN000063,2026-05-08,2,48,1,24.0
TXN000063,2026-05-08,2,58,1,25.0
TXN000063,2026-05-08,2,12,1,90.0
TXN000064,2026-05-08,3,39,1,140.0
TXN000064,2026-05-08,3,42,1,620.0
TXN000064,2026-05-08,3,21,1,310.0
TXN000064,2026-05-08,3,29,1,95.0
TXN000065,2026-05-08,3,43,1,240.0
TXN000065,2026-05-08,3,6,2,60.0
TXN000066,2026-05-08,3,22,1,30.0
TXN000066,2026-05-08,3,6,1,30.0
TXN000066,2026-05-08,3,53,1,40.0
TXN000066,2026-05-08,3,49,1,85.0
TXN000066,2026-05-08,3,16,1,120.0
TXN000067,2026-05-08,3,30,2,80.0
TXN000068,2026-05-08,3,41,1,90.0
TXN000068,2026-05-08,3,37,1,160.0
TXN000070,2026-05-08,3,15,1,110.0
TXN000070,2026-05-08,3,12,1,90.0
TXN000070,2026-05-08,3,52,1,50.0
TXN000070,2026-05-08,3,45,2,270.0
TXN000071,2026-05-08,3,9,1,40.0
TXN000071,2026-05-08,3,52,1,50.0
TXN000071,2026-05-08,3,30,1,40.0
TXN000071,2026-05-08,3,43,2,480.0
TXN000072,2026-05-08,3,53,1,40.0
TXN000072,2026-05-08,3,58,1,25.0
TXN000073,2026-05-08,3,17,2,90.0
TXN000073,2026-05-08,3,16,1,120.0
TXN000074,2026-05-08,3,29,2,190.0
TXN000075,2026-05-08,3,22,1,30.0
TXN000075,2026-05-08,3,58,1,25.0
TXN000076,2026-05-08,3,25,1,280.0
TXN000076,2026-05-08,3,45,1,135.0
TXN000077,2026-05-08,3,27,1,40.0
TXN000077,2026-05-08,3,22,1,30.0
TXN000077,2026-05-08,3,30,2,80.0
TXN000078,2026-05-08,3,2,1,35.0
TXN000078,2026-05-08,3,55,1,30.0
TXN000079,2026-05-08,3,35,1,145.0
TXN000079,2026-05-08,3,48,2,48.0
TXN000079,2026-05-08,3,39,1,140.0
TXN000080,2026-05-08,3,22,2,60.0
TXN000080,2026-05-08,3,43,1,240.0
TXN000080,2026-05-08,3,52,1,50.0
TXN000081,2026-05-08,3,40,1,65.0
TXN000082,2026-05-08,3,6,1,30.0
TXN000083,2026-05-08,3,9,2,80.0
TXN000083,2026-05-08,3,56,1,120.0
TXN000083,2026-05-08,3,30,1,40.0
TXN000084,2026-05-08,3,18,2,40.0
TXN000084,2026-05-08,3,49,1,85.0
TXN000084,2026-05-08,3,54,1,35.0
TXN000084,2026-05-08,3,27,2,80.0
TXN000085,2026-05-08,3,15,1,110.0
TXN000085,2026-05-08,3,42,1,620.0
TXN000086,2026-05-08,3,16,1,120.0
TXN000087,2026-05-08,3,16,1,120.0
TXN000087,2026-05-08,3,9,1,40.0
TXN000088,2026-05-08,3,30,1,40.0
TXN000088,2026-05-08,3,45,1,135.0
